,title,runtime,maturity,studio,Genre,avg_votes,votes,country
902,"Lovely, Still",92.0,13+,Monterey Media,Drama,7.1,2092.0,USA
905,No Turning Back,90.0,16+,Innovation Film Group,Drama,5.8,298.0,"USA, Spain, Australia"
906,Hart's War,124.0,18+,MGM/UA,Drama,6.3,50267.0,USA
913,Radio Free Albemuth,111.0,18+,Freestyle Releasing,Drama,5.6,1557.0,USA
916,The Uninvited,87.0,13+,DreamWorks/Paramount Studios,Drama,4.0,713.0,USA
922,The Christmas Candle,100.0,7+,Echolight Studios,Drama,6.2,1736.0,"UK, USA"
925,Eagle Eye,117.0,13+,Paramount Studios,Drama,6.6,173902.0,"USA, Germany"
931,The Return,99.0,18+,Focus Features,Drama,4.9,206.0,USA
934,The Ring,115.0,13+,DreamWorks SKG,Drama,7.1,315069.0,USA
947,Staying Alive,96.0,7+,Paramount Home Video,Drama,5.7,398.0,Norway
953,Cocktail,103.0,18+,Touchstone Pictures,Drama,6.3,13100.0,"UK, India"
959,Spare Parts,114.0,13+,Pantelion Films,Drama,7.3,10306.0,"USA, Mexico"
964,In the Electric Mist,102.0,18+,Image Entertainment,Drama,6.1,16356.0,"France, USA"
965,Prince,129.0,13+,Vice Media,Drama,4.2,1870.0,India
970,Sliver,106.0,18+,Paramount Home Video,Drama,5.1,28543.0,USA
971,The Circle,109.0,13+,EuropaCorp / STXfilms,Drama,5.3,81826.0,"United Arab Emirates, USA, France"
981,Milk,128.0,18+,Focus Features,Drama,7.5,162475.0,USA
998,Grey Owl,117.0,18+,Beaver Productions,Drama,6.0,3337.0,"UK, Canada"
999,Courageous,129.0,13+,Sony Pictures,Drama,7.0,18794.0,USA
1002,Regarding Henry,107.0,13+,Paramount Home Video,Drama,6.7,28936.0,USA
1004,96 Souls,112.0,13+,SJPL Films,Drama,6.5,998.0,USA
1005,Listening,97.0,16+,Young Medium,Drama,5.6,3058.0,"USA, Cambodia"
1006,Losing Isaiah,106.0,18+,Paramount Home Video,Drama,6.5,5417.0,USA
1010,Ordinary People,124.0,18+,Paramount Pictures,Drama,6.1,384.0,"Serbia, Netherlands, France, Switzerland"
1022,Internal Affairs,114.0,18+,Paramount Pictures,Drama,6.5,17182.0,"USA, Canada"
1028,Arcadia,89.0,13+,Film Movement,Drama,4.1,218.0,UK
1034,Afflicted,85.0,18+,CBS Films,Drama,6.3,21333.0,"Canada, USA"
1035,Digging Up the Marrow,88.0,16+,RLJE/Image Entertainment,Drama,5.8,4552.0,USA
1036,Mr. Church,105.0,13+,Envision Media Arts,Drama,7.6,25015.0,USA
1039,The Village,107.0,13+,Buena Vista,Drama,6.5,238570.0,USA
1041,Monster's Ball,111.0,18+,Lions Gate Films Inc.,Drama,7.0,81502.0,USA
1043,The Duchess,109.0,13+,Paramount Vantage,Drama,6.9,77106.0,"UK, Italy, France, USA"
1044,The First Time,95.0,13+,Samuel Goldwyn Films,Drama,6.8,65405.0,USA
1050,The Dressmaker,118.0,16+,Amazon Studios & Broad Green Pictures,Drama,7.1,51738.0,Australia
1052,Atlas Shrugged: Part I,96.0,13+,Rocky Mountain Pictures,Drama,5.6,12980.0,USA
1058,Hard Candy,104.0,18+,Lions Gate Films,Drama,7.1,151976.0,USA
1061,The Lincoln Lawyer,118.0,18+,Lionsgate Films,Drama,7.3,209759.0,USA
